1078;Some Assembly Required;SHOW;2014;4.0;8,5;22
2432;Prison Playbook;SHOW;2017;1.0;8,5;3060
300;Borgen;SHOW;2010;4.0;8,5;23523
1824;Ozark;SHOW;2017;4.0;8,5;278223
2662;Ashes of Love;SHOW;2018;1.0;8,5;1875
1418;Midnight Diner: Tokyo Stories;SHOW;2016;2.0;8,4;4109
706;Django Unchained;MOVIE;2012;;8,4;1472668
1346;The Disastrous Life of Saiki K.;SHOW;2016;3.0;8,4;6649
1854;Babylon Berlin;SHOW;2017;4.0;8,4;23256
1825;Derry Girls;SHOW;2018;3.0;8,4;28718
1351;Trollhunters: Tales of Arcadia;SHOW;2016;3.0;8,4;16509
1354;March Comes in Like a Lion;SHOW;2016;2.0;8,4;2586
1368;Hip Hop Evolution;SHOW;2016;4.0;8,4;5772
614;Kannathil Muthamittal;MOVIE;2002;;8,4;8376
715;Top Boy;SHOW;2011;2.0;8,4;22420
1934;James Acaster: Repertoire;SHOW;2018;1.0;8,4;3545
1528;Ask the Storybots;SHOW;2016;3.0;8,4;870
1375;Dangal;MOVIE;2016;;8,4;180247
1904;Narcos: Mexico;SHOW;2018;3.0;8,4;80902
783;Pablo Escobar: The Drug Lord;SHOW;2012;1.0;8,4;4923
625;Madness in the Desert;MOVIE;2004;;8,4;373
368;3 Idiots;MOVIE;2009;;8,4;385782
405;Louis C.K.: Hilarious;MOVIE;2010;;8,4;11973
664;Harishchandrachi Factory;MOVIE;2009;;8,4;2464
1398;Bo Burnham: Make Happy;MOVIE;2016;;8,4;14356
1952;The Dragon Prince;SHOW;2018;3.0;8,4;21635
1414;Last Chance U;SHOW;2016;5.0;8,4;6789
2312;Car Masters: Rust to Riches;SHOW;2018;3.0;8,4;10024
1415;Molang;SHOW;2015;3.0;8,4;346
2938;Running Man;SHOW;2017;1.0;8,4;32
728;The Legend of Korra;SHOW;2012;4.0;8,4;117464
1903;Violet Evergarden;SHOW;2018;1.0;8,4;19940
2338;Eternal Love;SHOW;2017;1.0;8,4;2214
915;Outlander;SHOW;2014;6.0;8,4;152435
1739;Vanished 46;SHOW;2016;1.0;8,4;4269
106;Stargate SG-1;SHOW;1997;10.0;8,4;90196
524;Black Friday;MOVIE;2004;;8,4;20611
278;Naruto;SHOW;2002;6.0;8,4;93980
1582;The Haunted House;SHOW;2016;7.0;8,4;71
1676;A Touch of Green;SHOW;2015;1.0;8,4;314
2067;Innocent;SHOW;2017;1.0;8,4;17727
2571;The Rise of Phoenixes;SHOW;2018;1.0;8,4;1477
1221;Alone;SHOW;2015;8.0;8,4;4622
2039;Abstract: The Art of Design;SHOW;2017;2.0;8,4;5306
1224;Ash vs Evil Dead;SHOW;2015;3.0;8,4;70087
252;Heartland;SHOW;2007;15.0;8,4;15743
984;Zach Stone Is Gonna Be Famous;SHOW;2013;1.0;8,3;3616
1283;Fauda;SHOW;2015;3.0;8,3;25239
764;Kuroko's Basketball;SHOW;2012;3.0;8,3;8052
1481;"Hello, My Twenties!";SHOW;2016;2.0;8,3;2127
1887;Atypical;SHOW;2017;4.0;8,3;81643
258;30 Rock;SHOW;2006;7.0;8,3;121514
1235;Forged in Fire;SHOW;2015;9.0;8,3;3538
2305;Cuba and the Cameraman;MOVIE;2017;;8,3;4715
1691;The Creative Indians;SHOW;2016;4.0;8,3;45
1247;Kim's Convenience;SHOW;2016;5.0;8,3;16970
326;Gurren Lagann;SHOW;2007;1.0;8,3;17024
1930;Five Came Back;SHOW;2017;1.0;8,3;4600
712;Last Tango in Halifax;SHOW;2012;5.0;8,3;6844
